486	ID:102	MAC 66:00:00:00:00:00:00:00 Contiki 2.7 started. Node id is set to 102.
486	ID:57	nullmac adapt-medal-rdc, channel check rate 16 Hz, radio channel 26
486	ID:81	Starting 'example medal-adaptive'
487	ID:13	MAC 0d:00:00:00:00:00:00:00 Contiki 2.7 started. Node id is set to 13.
488	ID:57	Starting 'example medal-adaptive'
492	ID:17	Rime started with address 17.0
496	ID:102	nullmac adapt-medal-rdc, channel check rate 16 Hz, radio channel 26
498	ID:13	nullmac adapt-medal-rdc, channel check rate 16 Hz, radio channel 26
499	ID:102	Starting 'example medal-adaptive'
500	ID:13	Starting 'example medal-adaptive'
500	ID:17	MAC 11:00:00:00:00:00:00:00 Contiki 2.7 started. Node id is set to 17.
511	ID:17	nullmac adapt-medal-rdc, channel check rate 16 Hz, radio channel 26
513	ID:17	Starting 'example medal-adaptive'
547	ID:86	Rime started with address 86.0
548	ID:61	Rime started with address 61.0
553	ID:100	Rime started with address 100.0
555	ID:86	MAC 56:00:00:00:00:00:00:00 Contiki 2.7 started. Node id is set to 86.
557	ID:61	MAC 3d:00:00:00:00:00:00:00 Contiki 2.7 started. Node id is set to 61.
561	ID:100	MAC 64:00:00:00:00:00:00:00 Contiki 2.7 started. Node id is set to 100.
566	ID:86	nullmac adapt-medal-rdc, channel check rate 16 Hz, radio channel 26
567	ID:61	nullmac adapt-medal-rdc, channel check rate 16 Hz, radio channel 26
568	ID:86	Starting 'example medal-adaptive'
570	ID:61	Starting 'example medal-adaptive'
571	ID:100	nullmac adapt-medal-rdc, channel check rate 16 Hz, radio channel 26
574	ID:100	Starting 'example medal-adaptive'
575	ID:72	Rime started with address 72.0
575	ID:66	Rime started with address 66.0
583	ID:72	MAC 48:00:00:00:00:00:00:00 Contiki 2.7 started. Node id is set to 72.
584	ID:66	MAC 42:00:00:00:00:00:00:00 Contiki 2.7 started. Node id is set to 66.
589	ID:68	Rime started with address 68.0
594	ID:72	nullmac adapt-medal-rdc, channel check rate 16 Hz, radio channel 26
594	ID:66	nullmac adapt-medal-rdc, channel check rate 16 Hz, radio channel 26
596	ID:72	Starting 'example medal-adaptive'
597	ID:66	Starting 'example medal-adaptive'
597	ID:68	MAC 44:00:00:00:00:00:00:00 Contiki 2.7 started. Node id is set to 68.
604	ID:98	Rime started with address 98.0
604	ID:83	Rime started with address 83.0
604	ID:59	Rime started with address 59.0
608	ID:68	nullmac adapt-medal-rdc, channel check rate 16 Hz, radio channel 26
610	ID:68	Starting 'example medal-adaptive'
612	ID:98	MAC 62:00:00:00:00:00:00:00 Contiki 2.7 started. Node id is set to 98.
612	ID:83	MAC 53:00:00:00:00:00:00:00 Contiki 2.7 started. Node id is set to 83.
612	ID:59	MAC 3b:00:00:00:00:00:00:00 Contiki 2.7 started. Node id is set to 59.
618	ID:88	Rime started with address 88.0
623	ID:98	nullmac adapt-medal-rdc, channel check rate 16 Hz, radio channel 26
623	ID:83	nullmac adapt-medal-rdc, channel check rate 16 Hz, radio channel 26
623	ID:59	nullmac adapt-medal-rdc, channel check rate 16 Hz, radio channel 26
625	ID:98	Starting 'example medal-adaptive'
625	ID:83	Starting 'example medal-adaptive'
625	ID:59	Starting 'example medal-adaptive'
626	ID:88	MAC 58:00:00:00:00:00:00:00 Contiki 2.7 started. Node id is set to 88.
626	ID:74	Rime started with address 74.0
628	ID:24	Rime started with address 24.0
634	ID:74	MAC 4a:00:00:00:00:00:00:00 Contiki 2.7 started. Node id is set to 74.
